,Teamname,Tournament,Username,PlayerName
95,Atlanta Hustle,AUDL 2017,Parker,Parker Bray
96,Atlanta Hustle,AUDL 2018,Parker,Parker Bray
97,Atlanta Hustle,AUDL 2018,Patrick,Patrick Dougherty
98,Atlanta Hustle,AUDL 2017,Perivier,Jacques Perivier
99,Atlanta Hustle,AUDL 2018,Perivier,Jacques Perivier
100,Atlanta Hustle,AUDL 2018,Player,Player Pierce
101,Atlanta Hustle,AUDL 2016,Poole,
102,Atlanta Hustle,AUDL 2015,R James,
103,Atlanta Hustle,AUDL 2015,R Runner,
104,Atlanta Hustle,AUDL 2015,RBradham,Robert Bradham
105,Atlanta Hustle,AUDL 2015,RSimmons,
106,Atlanta Hustle,AUDL 2018,Rae,Carter Rae
107,Atlanta Hustle,AUDL 2018,Rogers,Devon Rogers
108,Atlanta Hustle,AUDL 2016,Runner,
109,Atlanta Hustle,AUDL 2015,S Sears,Sean Sears
110,Atlanta Hustle,AUDL 2015,S. Hicks,
111,Atlanta Hustle,AUDL 2016,Sansbury,
112,Atlanta Hustle,AUDL 2016,Sears,Sean Sears
113,Atlanta Hustle,AUDL 2017,Sears,Sean Sears
114,Atlanta Hustle,AUDL 2015,Sebbi D,
115,Atlanta Hustle,AUDL 2016,Sperling,Daniel Sperling
116,Atlanta Hustle,AUDL 2017,Sperling,Daniel Sperling
117,Atlanta Hustle,AUDL 2018,Sperling,Daniel Sperling
118,Atlanta Hustle,AUDL 2016,Staber,Karl Staber
119,Atlanta Hustle,AUDL 2017,Staber,Karl Staber
120,Atlanta Hustle,AUDL 2016,Sun,Sun Choi
121,Atlanta Hustle,AUDL 2017,Sun,Sun Choi
122,Atlanta Hustle,AUDL 2018,Sun,Sun Choi
123,Atlanta Hustle,AUDL 2015,Sun Choi,Sun Choi
124,Atlanta Hustle,AUDL 2015,T Spinks,
125,Atlanta Hustle,AUDL 2015,TGoforth,Taylor Goforth
126,Atlanta Hustle,AUDL 2016,The Law,
127,Atlanta Hustle,AUDL 2017,Thor,Josh Turner
128,Atlanta Hustle,AUDL 2018,Thor,Josh Turner
129,Atlanta Hustle,AUDL 2016,Tree,Taylor Goforth
130,Atlanta Hustle,AUDL 2017,Tree,Taylor Goforth
131,Atlanta Hustle,AUDL 2016,Trenton,Trenton Spinks
132,Atlanta Hustle,AUDL 2017,Trenton,Trenton Spinks
133,Atlanta Hustle,AUDL 2018,Trenton,Trenton Spinks
134,Atlanta Hustle,AUDL 2016,Vickroy,Nathan Vickroy
135,Atlanta Hustle,AUDL 2017,Vickroy,Nathan Vickroy
136,Atlanta Hustle,AUDL 2016,Walsh,
137,Atlanta Hustle,AUDL 2016,Will,
138,Atlanta Hustle,AUDL 2018,Will L,Will Lindquist
139,Atlanta Hustle,AUDL 2016,Wooten,
140,Atlanta Hustle,AUDL 2016,Yusuf,Yusuf Abdullah
141,Atlanta Hustle,AUDL 2017,Yusuf,Yusuf Abdullah
142,Atlanta Hustle,AUDL 2018,Yusuf,Yusuf Abdullah
143,Austin Sol,AUDL 2018,A Davis,Aubrey Davis
144,Austin Sol,AUDL 2018,A Walch,Andrew Walch
145,Austin Sol,AUDL 2018,ABrouwer,
146,Austin Sol,AUDL 2018,B Adams,Brendan Adams
147,Austin Sol,AUDL 2018,B Gfroer,Brian Gfroerer
148,Austin Sol,AUDL 2018,B Gramma,
149,Austin Sol,AUDL 2016,Bautis V,
150,Austin Sol,AUDL 2017,Bautis V,
151,Austin Sol,AUDL 2016,Bennet M,Mitchell Bennett
152,Austin Sol,AUDL 2017,Bennet M,Mitchell Bennett
153,Austin Sol,AUDL 2017,Best J,
154,Austin Sol,AUDL 2017,Biersc M,Matthew Bierschenk
155,Austin Sol,AUDL 2018,Bigley,Ryan Bigley
156,Austin Sol,AUDL 2016,Bigley R,
157,Austin Sol,AUDL 2017,Bigley R,
158,Austin Sol,AUDL 2016,Boyea D,
159,Austin Sol,AUDL 2016,Brooks C,
160,Austin Sol,AUDL 2017,Brooks C,
161,Austin Sol,AUDL 2018,C Brooks,Chris Brooks
162,Austin Sol,AUDL 2018,C Cunnin,Chase Cunningham
163,Austin Sol,AUDL 2018,C Grimm,Christopher Grimm
164,Austin Sol,AUDL 2018,C Mika,Corey Mika
165,Austin Sol,AUDL 2018,C Vargas,Carlos Vargas
166,Austin Sol,AUDL 2017,Cecil J,John Cecil
167,Austin Sol,AUDL 2016,Clutto J,
168,Austin Sol,AUDL 2016,Cunnin C,Chase Cunningham
169,Austin Sol,AUDL 2017,Cunnin C,Chase Cunningham
170,Austin Sol,AUDL 2018,D Richar,Doug Richardson
171,Austin Sol,AUDL 2017,Daftar K,Kamron Daftari
172,Austin Sol,AUDL 2017,Davis A,
173,Austin Sol,AUDL 2017,Deneco C,Caleb Denecour
174,Austin Sol,AUDL 2016,Denenc C,
175,Austin Sol,AUDL 2017,Dial B,Brandon Dial
176,Austin Sol,AUDL 2018,E Moore,Elliott Moore
177,Austin Sol,AUDL 2018,EPollack,Ethan Pollack
178,Austin Sol,AUDL 2017,Frohli J,Johnny Frohlichstein
179,Austin Sol,AUDL 2016,Graman B,
180,Austin Sol,AUDL 2017,Graman B,
181,Austin Sol,AUDL 2016,Halpri K,
182,Austin Sol,AUDL 2016,Hays M,Michael Hays
183,Austin Sol,AUDL 2017,Hays M,Michael Hays
184,Austin Sol,AUDL 2017,Henke K,
185,Austin Sol,AUDL 2016,Hillis E,
186,Austin Sol,AUDL 2016,Holler J,
187,Austin Sol,AUDL 2018,J Cecil,John Cecil
188,Austin Sol,AUDL 2018,J Wolfe,Jerrod Wolfe
189,Austin Sol,AUDL 2018,J Zdrodo,Joshua Zdrodowski
190,Austin Sol,AUDL 2018,JCecil,John Cecil
191,Austin Sol,AUDL 2018,JHollera,Jason Holleran
192,Austin Sol,AUDL 2018,JLoskorn,Jeff Loskorn
193,Austin Sol,AUDL 2018,K Daftar,Kamron Daftari
194,Austin Sol,AUDL 2018,K Henke,Kyle Henke
195,Austin Sol,AUDL 2018,K Thomas,Kiran Thomas
196,Austin Sol,AUDL 2018,Kamron D,Kamron Daftari
197,Austin Sol,AUDL 2018,Kevin Ha,Kevin Halprin
198,Austin Sol,AUDL 2016,Kinney L,Logan Kinney
199,Austin Sol,AUDL 2017,Kinney L,Logan Kinney
200,Austin Sol,AUDL 2016,Lewis B,
201,Austin Sol,AUDL 2016,Loskor J,
202,Austin Sol,AUDL 2017,Loskor J,
203,Austin Sol,AUDL 2018,M Biersc,Matthew Bierschenk
204,Austin Sol,AUDL 2018,M Cook,Max Cook
205,Austin Sol,AUDL 2018,M Natenb,Michael Natenberg
206,Austin Sol,AUDL 2018,M Walter,Mick Walter
207,Austin Sol,AUDL 2018,MMatthis,Michael Matthis
208,Austin Sol,AUDL 2018,MaBennet,Matt Bennett
209,Austin Sol,AUDL 2016,Matthi M,
210,Austin Sol,AUDL 2017,Matthi M,
211,Austin Sol,AUDL 2018,MiBennet,Mitchell Bennett
212,Austin Sol,AUDL 2016,Mock N,
213,Austin Sol,AUDL 2017,Mock N,
214,Austin Sol,AUDL 2017,Moore E,Elliott Moore
215,Austin Sol,AUDL 2016,Mosola L,Lucky Mosola
216,Austin Sol,AUDL 2017,Mosola L,Lucky Mosola
217,Austin Sol,AUDL 2018,Murphy,Sam Murphy
218,Austin Sol,AUDL 2018,N Whale,Nicholas Whale
219,Austin Sol,AUDL 2018,Naji,Steven Naji
220,Austin Sol,AUDL 2017,Naji S,Steven Naji
221,Austin Sol,AUDL 2018,Nash Moc,Nash Mock
222,Austin Sol,AUDL 2016,Orloff R,Rory Orloff
223,Austin Sol,AUDL 2017,Orloff R,Rory Orloff
224,Austin Sol,AUDL 2018,P Starke,Paul Starkel
225,Austin Sol,AUDL 2016,Poinde D,
226,Austin Sol,AUDL 2016,Pollac E,Ethan Pollack
227,Austin Sol,AUDL 2017,Pollac E,Ethan Pollack
228,Austin Sol,AUDL 2016,Purcel R,Ryan Purcell
229,Austin Sol,AUDL 2017,Purcel R,Ryan Purcell
230,Austin Sol,AUDL 2018,R Lewis,Robert Lewis
231,Austin Sol,AUDL 2018,R Orloff,Rory Orloff
232,Austin Sol,AUDL 2018,RPurcell,Ryan Purcell
233,Austin Sol,AUDL 2017,Reinha J,Jake Reinhardt
234,Austin Sol,AUDL 2016,Richar D,Doug Richardson
235,Austin Sol,AUDL 2017,Richar D,Doug Richardson
236,Austin Sol,AUDL 2018,Rogers,Ferdia Rogers
237,Austin Sol,AUDL 2016,Sackma C,
238,Austin Sol,AUDL 2017,Sany N,Nathan Sany
239,Austin Sol,AUDL 2017,Schafe J,Jason Schafer
240,Austin Sol,AUDL 2016,Starke P,
241,Austin Sol,AUDL 2017,Starke P,
242,Austin Sol,AUDL 2018,T Chiu,Tyler Chiu
243,Austin Sol,AUDL 2018,Unknown,
244,Austin Sol,AUDL 2018,VRenshaw,Valley Renshaw
245,Austin Sol,AUDL 2017,Vargas C,Carlos Vargas
246,Austin Sol,AUDL 2016,Walch A,Andrew Walch
247,Austin Sol,AUDL 2017,Walch A,Andrew Walch
248,Austin Sol,AUDL 2017,Walter M,Mick Walter
249,Austin Sol,AUDL 2016,Wilder C,Carson Wilder
250,Austin Sol,AUDL 2017,Wilder C,Carson Wilder
251,Austin Sol,AUDL 2016,Wolfe J,
252,Charlotte Express,AUDL 2015,Barry I,
253,Charlotte Express,AUDL 2016,Bode M,Matt Bode
254,Charlotte Express,AUDL 2015,Bostia A,
255,Charlotte Express,AUDL 2015,Burns E,
256,Charlotte Express,AUDL 2016,Cohen A,
257,Charlotte Express,AUDL 2016,Colicc C,
258,Charlotte Express,AUDL 2016,Cooper S,
259,Charlotte Express,AUDL 2016,Fairfa J,Jacob Fairfax
260,Charlotte Express,AUDL 2015,Fontai S,
261,Charlotte Express,AUDL 2015,Fox E,
262,Charlotte Express,AUDL 2015,Gardne M,
263,Charlotte Express,AUDL 2016,Gardne M,
264,Charlotte Express,AUDL 2015,Gerber C,
265,Charlotte Express,AUDL 2015,Glenn M,
266,Charlotte Express,AUDL 2016,Goff N,Nate Goff
267,Charlotte Express,AUDL 2015,Grunin A,
268,Charlotte Express,AUDL 2016,Grunin A,
269,Charlotte Express,AUDL 2015,Hood M,Micah Hood
270,Charlotte Express,AUDL 2016,Hood M,Micah Hood
271,Charlotte Express,AUDL 2015,Howey E,
272,Charlotte Express,AUDL 2016,Howey E,
273,Charlotte Express,AUDL 2015,Johnso C,
274,Charlotte Express,AUDL 2015,Kelley S,
275,Charlotte Express,AUDL 2016,Kelley S,
276,Charlotte Express,AUDL 2015,Lee S,
277,Charlotte Express,AUDL 2016,Lee S,
278,Charlotte Express,AUDL 2015,Lieber J,
279,Charlotte Express,AUDL 2016,Lieber J,
280,Charlotte Express,AUDL 2015,McCall S,
281,Charlotte Express,AUDL 2016,McSher C,
282,Charlotte Express,AUDL 2016,Minch T,
283,Charlotte Express,AUDL 2016,Mossma D,
284,Charlotte Express,AUDL 2015,Muniz C,
285,Charlotte Express,AUDL 2016,Muniz C,
286,Charlotte Express,AUDL 2015,Nordeg J,
287,Charlotte Express,AUDL 2016,Nordgr J,
288,Charlotte Express,AUDL 2015,Olson E,
289,Charlotte Express,AUDL 2016,Olson E,
290,Charlotte Express,AUDL 2016,Polk J,
291,Charlotte Express,AUDL 2015,Porter K,
292,Charlotte Express,AUDL 2016,Porter K,
293,Charlotte Express,AUDL 2015,Russel A,
294,Charlotte Express,AUDL 2016,Ryan A,
295,Charlotte Express,AUDL 2015,Saffa Z,
296,Charlotte Express,AUDL 2015,Schanz R,
297,Charlotte Express,AUDL 2015,Schopl D,
298,Charlotte Express,AUDL 2015,Silva K,
299,Charlotte Express,AUDL 2016,Silva K,
300,Charlotte Express,AUDL 2015,Sisco S,
301,Charlotte Express,AUDL 2016,Sisco S,
302,Charlotte Express,AUDL 2015,Stone J,
303,Charlotte Express,AUDL 2016,Stone J,
304,Charlotte Express,AUDL 2015,Stukes M,
305,Charlotte Express,AUDL 2016,Vickro A,
306,Charlotte Express,AUDL 2016,Weeks P,
307,Charlotte Express,AUDL 2015,Welchm D,
308,Charlotte Express,AUDL 2016,Welchm D,
309,Charlotte Express,AUDL 2016,Werkme R,
310,Charlotte Express,AUDL 2015,Whitti G,
311,Chicago Wildfire,AUDL 2015,AJ,A.J. Nelson
312,Chicago Wildfire,AUDL 2016,AJ,A.J. Nelson
313,Chicago Wildfire,AUDL 2015,Adrian,
314,Chicago Wildfire,AUDL 2016,Adrian,
315,Chicago Wildfire,AUDL 2014,Aj Nelso,A.J. Nelson
316,Chicago Wildfire,AUDL 2014,Alex D-W,
317,Chicago Wildfire,AUDL 2014,Andy N,
318,Chicago Wildfire,AUDL 2018,Bill,Bill Kluender
319,Chicago Wildfire,AUDL 2015,Bob,
320,Chicago Wildfire,AUDL 2014,Bob L,Bob Liu
321,Chicago Wildfire,AUDL 2014,Brett K,
322,Chicago Wildfire,AUDL 2015,Brodie,Brodie Smith
323,Chicago Wildfire,AUDL 2014,Brodie S,Brodie Smith
324,Chicago Wildfire,AUDL 2018,Bruno,Bruno
325,Chicago Wildfire,AUDL 2018,CJ,CJ O'Brien
326,Chicago Wildfire,AUDL 2014,Casey D,
327,Chicago Wildfire,AUDL 2016,Champe,Alex Champe
328,Chicago Wildfire,AUDL 2017,Champe,Alex Champe
329,Chicago Wildfire,AUDL 2018,Chowder,Chowder
330,Chicago Wildfire,AUDL 2014,Chris V,
331,Chicago Wildfire,AUDL 2015,Cullen,
332,Chicago Wildfire,AUDL 2014,Cullen G,
333,Chicago Wildfire,AUDL 2015,DW,
334,Chicago Wildfire,AUDL 2016,DW,
335,Chicago Wildfire,AUDL 2014,Dan W,
336,Chicago Wildfire,AUDL 2014,Dane O,
337,Chicago Wildfire,AUDL 2015,Danny,Dan Miller
338,Chicago Wildfire,AUDL 2018,Danny,Dan Miller
339,Chicago Wildfire,AUDL 2018,Dave,David Woods
340,Chicago Wildfire,AUDL 2018,Drew,Drew Levorsen
341,Chicago Wildfire,AUDL 2016,Egan,Michael Egan
342,Chicago Wildfire,AUDL 2017,Egan,Michael Egan
343,Chicago Wildfire,AUDL 2015,Fergus,
344,Chicago Wildfire,AUDL 2016,Fergus,
345,Chicago Wildfire,AUDL 2016,Furse,
346,Chicago Wildfire,AUDL 2017,Gallaghe,Tommy Gallagher
347,Chicago Wildfire,AUDL 2014,Gary L,Gary LeDonne
348,Chicago Wildfire,AUDL 2016,Geoff,
349,Chicago Wildfire,AUDL 2014,Geoff S,
350,Chicago Wildfire,AUDL 2014,George H,
351,Chicago Wildfire,AUDL 2018,Goff,Nate Goff
352,Chicago Wildfire,AUDL 2015,Goose,Goose Helton
353,Chicago Wildfire,AUDL 2014,Goose H,Goose Helton
354,Chicago Wildfire,AUDL 2018,Grant,Grant Zukowski
355,Chicago Wildfire,AUDL 2014,Greg S,Gregory Slover
356,Chicago Wildfire,AUDL 2016,Hidaka,
357,Chicago Wildfire,AUDL 2015,J Silver,
358,Chicago Wildfire,AUDL 2016,J-Rob,
359,Chicago Wildfire,AUDL 2015,JRob,
360,Chicago Wildfire,AUDL 2015,JSS,
361,Chicago Wildfire,AUDL 2015,Jack,Jack Shey
362,Chicago Wildfire,AUDL 2018,Jack,Jack Shey
363,Chicago Wildfire,AUDL 2014,James R,
364,Chicago Wildfire,AUDL 2017,Janas,Pawel Janas
365,Chicago Wildfire,AUDL 2018,Jason,Jason Vallee
366,Chicago Wildfire,AUDL 2018,Jeff,Jeff Zhao
367,Chicago Wildfire,AUDL 2018,Jeremy,Jeremy Burril
368,Chicago Wildfire,AUDL 2015,Jimmy,Jimmy Robin
369,Chicago Wildfire,AUDL 2018,Jimmy,James Sykora
370,Chicago Wildfire,AUDL 2014,John K,
371,Chicago Wildfire,AUDL 2016,Johnson,Eric Johnson
372,Chicago Wildfire,AUDL 2017,Johnson,Eric Johnson
373,Chicago Wildfire,AUDL 2018,Judah,Judah Newman
374,Chicago Wildfire,AUDL 2018,Karl,Karl Kingma
375,Chicago Wildfire,AUDL 2015,Kaufmann,
376,Chicago Wildfire,AUDL 2016,Kaufmann,
377,Chicago Wildfire,AUDL 2015,Kennedy,
378,Chicago Wildfire,AUDL 2014,Kevin K,
379,Chicago Wildfire,AUDL 2017,Kingma,Karl Kingma
380,Chicago Wildfire,AUDL 2017,Kluender,Bill Kluender
381,Chicago Wildfire,AUDL 2017,Kuhl,Trent Kuhl
382,Chicago Wildfire,AUDL 2018,Kurt,Kurt Gibson
383,Chicago Wildfire,AUDL 2017,Levorsen,Drew Levorsen
384,Chicago Wildfire,AUDL 2018,Mater,Matt LeMaitre
385,Chicago Wildfire,AUDL 2015,MattSteg,
386,Chicago Wildfire,AUDL 2015,Matzuka,Brett Matzuka
387,Chicago Wildfire,AUDL 2015,Max,Max Trotter
388,Chicago Wildfire,AUDL 2018,Max,Max Trotter
389,Chicago Wildfire,AUDL 2016,Miller,Dan Miller
390,Chicago Wildfire,AUDL 2017,Miller,Dan Miller
391,Chicago Wildfire,AUDL 2018,Neal,Neal Phelps
392,Chicago Wildfire,AUDL 2014,Neal P,
393,Chicago Wildfire,AUDL 2015,Neil,
394,Chicago Wildfire,AUDL 2017,Newman,Judah Newman
395,Chicago Wildfire,AUDL 2018,Nick,Nick
396,Chicago Wildfire,AUDL 2018,Nicky,Nicky Golini
397,Chicago Wildfire,AUDL 2017,O'Brien,CJ O'Brien
398,Chicago Wildfire,AUDL 2016,Pardo,Michael Pardo
399,Chicago Wildfire,AUDL 2017,Pardo,Michael Pardo
400,Chicago Wildfire,AUDL 2018,Pardo,Michael Pardo
401,Chicago Wildfire,AUDL 2018,Pawel,Pawel Janas
402,Chicago Wildfire,AUDL 2016,Phelps,Neal Phelps
403,Chicago Wildfire,AUDL 2017,Phelps,Neal Phelps
404,Chicago Wildfire,AUDL 2015,Rathunde,Brian Rathunde
405,Chicago Wildfire,AUDL 2016,Rathunde,Brian Rathunde
406,Chicago Wildfire,AUDL 2017,Rathunde,Brian Rathunde
407,Chicago Wildfire,AUDL 2014,Rehmann,
408,Chicago Wildfire,AUDL 2014,Rob G,
409,Chicago Wildfire,AUDL 2014,Rob S,
410,Chicago Wildfire,AUDL 2017,Robin,Jimmy Robin
411,Chicago Wildfire,AUDL 2018,Roddy,Rodrigo Arcibar
412,Chicago Wildfire,AUDL 2014,Ron K,
413,Chicago Wildfire,AUDL 2015,Rory,
414,Chicago Wildfire,AUDL 2018,Ross,Ross Barker
415,Chicago Wildfire,AUDL 2015,Roush,
416,Chicago Wildfire,AUDL 2017,Rummel,Alex Rummelhart
417,Chicago Wildfire,AUDL 2014,Sheehan,
418,Chicago Wildfire,AUDL 2015,Sheehan,
419,Chicago Wildfire,AUDL 2016,Sheehan,
420,Chicago Wildfire,AUDL 2016,Shey,Jack Shey
421,Chicago Wildfire,AUDL 2017,Shey,Jack Shey
422,Chicago Wildfire,AUDL 2015,Shiel,Mike Shiel
423,Chicago Wildfire,AUDL 2016,Shiel,Mike Shiel
424,Chicago Wildfire,AUDL 2015,Silver,
425,Chicago Wildfire,AUDL 2018,Simon,Simon Johansen
426,Chicago Wildfire,AUDL 2016,Simpson,
427,Chicago Wildfire,AUDL 2015,Slymer,Slymer
428,Chicago Wildfire,AUDL 2018,Slymer,Slymer
429,Chicago Wildfire,AUDL 2014,Slymer E,
430,Chicago Wildfire,AUDL 2014,Stepha M,
431,Chicago Wildfire,AUDL 2016,Stogdon,
432,Chicago Wildfire,AUDL 2016,Sykora,James Sykora
433,Chicago Wildfire,AUDL 2017,Sykora,James Sykora
434,Chicago Wildfire,AUDL 2014,Taylor K,
435,Chicago Wildfire,AUDL 2014,Tim Ferg,
436,Chicago Wildfire,AUDL 2018,Tommy,Tommy Gallagher
437,Chicago Wildfire,AUDL 2017,Trotter,Max Trotter
438,Chicago Wildfire,AUDL 2015,Uber,Alex Rummelhart
439,Chicago Wildfire,AUDL 2016,Uber,Alex Rummelhart
440,Chicago Wildfire,AUDL 2017,Uber,Alex Rummelhart
441,Chicago Wildfire,AUDL 2018,Uber,Alex Rummelhart
442,Chicago Wildfire,AUDL 2015,Vock,Dan Vockeroth
443,Chicago Wildfire,AUDL 2016,Vock,Dan Vockeroth
444,Chicago Wildfire,AUDL 2017,Vock,Dan Vockeroth
445,Chicago Wildfire,AUDL 2018,Vock,Dan Vockeroth
446,Chicago Wildfire,AUDL 2015,Von,Von Alanguilan
447,Chicago Wildfire,AUDL 2016,Von,Von Alanguilan
448,Chicago Wildfire,AUDL 2017,Von,Von Alanguilan
449,Chicago Wildfire,AUDL 2014,Von A,Von Alanguilan
450,Chicago Wildfire,AUDL 2014,Walden N,Walden Nelson
451,Chicago Wildfire,AUDL 2017,Weis,Jeff Weis
452,Chicago Wildfire,AUDL 2018,Wets,Jeff Weis
453,Chicago Wildfire,AUDL 2016,Williams,
454,Chicago Wildfire,AUDL 2016,Woods,Dave Woods
455,Chicago Wildfire,AUDL 2017,Woods,Dave Woods
456,Chicago Wildfire,AUDL 2016,Wormley,
457,Chicago Wildfire,AUDL 2014,Xtehn Ti,
458,Chicago Wildfire,AUDL 2016,Yiding,
459,Chicago Wildfire,AUDL 2016,Young,
460,Chicago Wildfire,AUDL 2016,Zeman,Nick Zeman
461,Chicago Wildfire,AUDL 2017,Zeman,Nick Zeman
462,Chicago Wildfire,AUDL 2018,Zeman,Nick Zeman
463,Chicago Wildfire,AUDL 2017,Zhao,Jeff Zhao
464,Chicago Wildfire,AUDL 2015,Zubair,
465,Cincinnati Revolution,AUDL 2014,Aaron Ba,
466,Cincinnati Revolution,AUDL 2014,Aaron Co,
467,Cincinnati Revolution,AUDL 2016,Adam T,
468,Cincinnati Revolution,AUDL 2014,Alan Hue,
469,Cincinnati Revolution,AUDL 2016,Alec M,
470,Cincinnati Revolution,AUDL 2016,Andrew K,
471,Cincinnati Revolution,AUDL 2014,Ben Blat,
472,Cincinnati Revolution,AUDL 2014,Ben Jans,
