team,year,Passer,Receiver,Line
Los Angeles Aviators,2016,Hunter Corbet,Greg Husak,O
Los Angeles Aviators,2016,Michael Kiyoi,Zach Theodore,O
Los Angeles Aviators,2016,Greg Husak,Steven Brooks,O
Los Angeles Aviators,2016,Zac Schakner,Mitchell Steiner,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Mitchell Steiner,Zach Theodore,D
Los Angeles Aviators,2016,Mark Elbogen,Timothy Beatty,O
Los Angeles Aviators,2016,Trevor Smith,Zach Theodore,D
Los Angeles Aviators,2016,Hunter Corbet,Dan Bellinger,O
Los Angeles Aviators,2016,Dan Bellinger,Jeffrey Silverman,D
Los Angeles Aviators,2016,Timothy Beatty,Bryan Nguyen,O
Los Angeles Aviators,2016,Dan Bellinger,Zach Theodore,D
Los Angeles Aviators,2016,Tyler Bacon,Jeffrey Silverman,D
Los Angeles Aviators,2016,Bryan Nguyen,Mark Elbogen,O
Los Angeles Aviators,2016,Greg Husak,Hunter Corbet,O
Los Angeles Aviators,2016,Andrew Kohl,Zach Theodore,D
Los Angeles Aviators,2016,Greg Husak,Brent George,D
Los Angeles Aviators,2016,Steven Brooks,Brent George,O
Los Angeles Aviators,2016,Mitchell Steiner,Michael Kiyoi,D
Los Angeles Aviators,2016,Mark Elbogen,Greg Husak,O
Los Angeles Aviators,2016,Zac Schakner,Mark Elbogen,D
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Greg Husak,Mark Elbogen,O
Los Angeles Aviators,2016,Bryan Nguyen,Mark Elbogen,O
Los Angeles Aviators,2016,Timothy Beatty,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Brent George,O
Los Angeles Aviators,2016,Allen Lai,Hunter Corbet,O
Los Angeles Aviators,2016,Mark Elbogen,Eric Lissner,O
Los Angeles Aviators,2016,Steven Brooks,Eric Lissner,O
Los Angeles Aviators,2016,Mitchell Steiner,Jeffrey Silverman,O
Los Angeles Aviators,2016,Bryan Nguyen,Timothy Beatty,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Allen Lai,Mark Elbogen,O
Los Angeles Aviators,2016,Dan Bellinger,Brandon Severson,D
Los Angeles Aviators,2016,Tyler Bacon,Dan Bellinger,D
Los Angeles Aviators,2016,Brent George,Zach Theodore,D
Los Angeles Aviators,2016,Dan Bellinger,Brandon Severson,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,D
Los Angeles Aviators,2016,Steven Brooks,Mark Elbogen,O
Los Angeles Aviators,2016,Allen Lai,Bryan Nguyen,O
Los Angeles Aviators,2016,Steven Brooks,Brent George,O
Los Angeles Aviators,2016,Dan Bellinger,Brandon Severson,D
Los Angeles Aviators,2016,Allen Lai,Brent George,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Steven Brooks,Mark Elbogen,O
Los Angeles Aviators,2016,Eric Lissner,Brent George,O
Los Angeles Aviators,2016,Zach Theodore,Hunter Corbet,D
Los Angeles Aviators,2016,Mark Elbogen,Brent George,D
Los Angeles Aviators,2016,Brandon Severson,Eric Lissner,O
Los Angeles Aviators,2016,Mark Elbogen,Brent George,O
Los Angeles Aviators,2016,Allen Lai,Steven Brooks,O
Los Angeles Aviators,2016,Tyler Bacon,Hunter Corbet,D
Los Angeles Aviators,2016,Greg Husak,Allen Lai,O
Los Angeles Aviators,2016,Hunter Corbet,Michael Kiyoi,O
Los Angeles Aviators,2016,Zac Schakner,Peter Zhou,D
Los Angeles Aviators,2016,Mark Elbogen,Steven Brooks,O
Los Angeles Aviators,2016,Steven Brooks,Eric Lissner,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,D
Los Angeles Aviators,2016,Tyler Bacon,Brandon Severson,D
Los Angeles Aviators,2016,Mark Elbogen,Steven Brooks,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Brent George,Mark Elbogen,O
Los Angeles Aviators,2016,Zac Schakner,Jeffrey Silverman,D
Los Angeles Aviators,2016,Mark Elbogen,Eric Lissner,O
Los Angeles Aviators,2016,Bryan Nguyen,Brent George,O
Los Angeles Aviators,2016,Greg Husak,Eric Lissner,O
Los Angeles Aviators,2016,Eric Lissner,Allen Lai,O
Los Angeles Aviators,2016,Brandon Severson,Sean McDougall,D
Los Angeles Aviators,2016,Mark Elbogen,Eric Lissner,O
Los Angeles Aviators,2016,Eric Lissner,Brent George,O
Los Angeles Aviators,2016,Greg Husak,Bryan Nguyen,O
Los Angeles Aviators,2016,Hunter Corbet,Zach Theodore,O
Los Angeles Aviators,2016,Brandon Severson,Zach Theodore,D
Los Angeles Aviators,2016,Bryan Nguyen,Greg Husak,O
Los Angeles Aviators,2016,Mitchell Steiner,Zach Theodore,D
Los Angeles Aviators,2016,Peter Zhou,Mitchell Steiner,O
Los Angeles Aviators,2016,Zac Schakner,Sean McDougall,O
Los Angeles Aviators,2016,Greg Husak,Brent George,O
Los Angeles Aviators,2016,Brandon Severson,Peter Zhou,D
Los Angeles Aviators,2016,Allen Lai,Eric Lissner,O
Los Angeles Aviators,2016,Hunter Corbet,Zach Theodore,D
Los Angeles Aviators,2016,Brandon Severson,Sam Plasman,D
Los Angeles Aviators,2016,Allen Lai,Eric Lissner,O
Los Angeles Aviators,2016,Eric Lissner,Steven Brooks,O
Los Angeles Aviators,2016,Zac Schakner,Timothy Beatty,D
Los Angeles Aviators,2016,Mark Elbogen,Eli Friedman,D
Los Angeles Aviators,2016,Hunter Corbet,Brent George,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Allen Lai,Mark Elbogen,O
Los Angeles Aviators,2016,Mark Elbogen,Eric Lissner,O
Los Angeles Aviators,2016,Hunter Corbet,Mitchell Steiner,D
Los Angeles Aviators,2016,Steven Brooks,Mark Elbogen,O
Los Angeles Aviators,2016,Tyler Bacon,Hunter Corbet,D
Los Angeles Aviators,2016,Timothy Beatty,Simon Evans,D
Los Angeles Aviators,2016,Allen Lai,Mark Elbogen,O
Los Angeles Aviators,2016,Bryan Nguyen,Brent George,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Steven Brooks,Bryan Nguyen,O
Los Angeles Aviators,2016,Michael Kiyoi,Eric Lissner,O
Los Angeles Aviators,2016,Zac Schakner,Simon Evans,D
Los Angeles Aviators,2016,Allen Lai,Timothy Beatty,O
Los Angeles Aviators,2016,Hunter Corbet,Zach Theodore,D
Los Angeles Aviators,2016,Allen Lai,Eli Friedman,O
Los Angeles Aviators,2016,Zach Theodore,Hunter Corbet,D
Los Angeles Aviators,2016,Eli Friedman,Mark Elbogen,O
Los Angeles Aviators,2016,Mark Elbogen,Timothy Beatty,O
Los Angeles Aviators,2016,Brandon Severson,Sean McDougall,D
Los Angeles Aviators,2016,Eli Friedman,Mark Elbogen,O
Los Angeles Aviators,2016,Eli Friedman,Allen Lai,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Dan Bellinger,Andrew Kohl,D
Los Angeles Aviators,2016,Steven Brooks,Eric Lissner,O
Los Angeles Aviators,2016,Brent George,Steven Brooks,O
Los Angeles Aviators,2016,Steven Brooks,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Steven Brooks,Eric Lissner,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Timothy Beatty,Mark Elbogen,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Brent George,Steven Brooks,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Dan Bellinger,Tyler Bacon,D
Los Angeles Aviators,2016,Michael Kiyoi,Zac Schakner,D
Los Angeles Aviators,2016,Brandon Severson,Mitchell Steiner,D
Los Angeles Aviators,2016,Zac Schakner,Trevor Smith,D
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Sean McDougall,Michael Kiyoi,D
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Zac Schakner,Zach Theodore,D
Los Angeles Aviators,2016,Bryan Nguyen,Allen Lai,O
Los Angeles Aviators,2016,Eric Lissner,Allen Lai,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Tyler Bacon,Zach Theodore,O
Los Angeles Aviators,2016,Trevor Smith,Sean McDougall,D
Los Angeles Aviators,2016,Brent George,Steven Brooks,O
Los Angeles Aviators,2016,Jeffrey Silverman,Zach Theodore,D
Los Angeles Aviators,2016,Bryan Nguyen,Eli Friedman,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Mitchell Steiner,Michael Kiyoi,D
Los Angeles Aviators,2016,Dan Bellinger,Mark Elbogen,O
Los Angeles Aviators,2016,Hunter Corbet,Zach Theodore,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Zach Theodore,Simon Evans,D
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Zach Theodore,Jeffrey Silverman,D
Los Angeles Aviators,2016,Steven Brooks,Bryan Nguyen,O
Los Angeles Aviators,2016,Mark Elbogen,Eli Friedman,O
Los Angeles Aviators,2016,Steven Brooks,Brent George,O
Los Angeles Aviators,2016,Hunter Corbet,Steven Brooks,O
Los Angeles Aviators,2016,Dan Bellinger,Simon Evans,D
Los Angeles Aviators,2016,Brent George,Mark Elbogen,O
Los Angeles Aviators,2016,Bryan Nguyen,Mark Elbogen,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Eric Lissner,Brent George,O
Los Angeles Aviators,2016,Jeffrey Silverman,Brandon Severson,D
Los Angeles Aviators,2016,Eli Friedman,Bryan Nguyen,O
Los Angeles Aviators,2016,Steven Brooks,Brent George,O
Los Angeles Aviators,2016,Allen Lai,Brent George,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Eli Friedman,Bryan Nguyen,O
Los Angeles Aviators,2016,Brent George,Bryan Nguyen,D
Los Angeles Aviators,2016,Allen Lai,Eli Friedman,O
Los Angeles Aviators,2016,Zach Theodore,Jeffrey Silverman,D
Los Angeles Aviators,2016,Eric Lissner,Steven Brooks,O
Los Angeles Aviators,2016,Mark Elbogen,Brent George,O
Los Angeles Aviators,2016,Brandon Severson,Hunter Corbet,D
Los Angeles Aviators,2016,Zach Theodore,Michael Kiyoi,D
Los Angeles Aviators,2016,Sean McDougall,Peter Zhou,D
Los Angeles Aviators,2016,Mitchell Steiner,Dan Bellinger,D
Los Angeles Aviators,2016,Mitchell Steiner,Trevor Smith,D
Los Angeles Aviators,2016,Hunter Corbet,Peter Zhou,D
Los Angeles Aviators,2016,Allen Lai,Mark Elbogen,O
Los Angeles Aviators,2016,Steven Brooks,Mark Elbogen,D
Los Angeles Aviators,2016,Eric Lissner,Brent George,O
Los Angeles Aviators,2016,Dan Bellinger,Brandon Severson,D
Los Angeles Aviators,2016,Bryan Nguyen,Allen Lai,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Steven Brooks,O
Los Angeles Aviators,2016,Zach Theodore,Hunter Corbet,D
Los Angeles Aviators,2016,Tyler Bacon,Mitchell Steiner,D
Los Angeles Aviators,2016,Allen Lai,Mark Elbogen,O
Los Angeles Aviators,2016,Mark Elbogen,Brent George,O
Los Angeles Aviators,2016,Hunter Corbet,Brandon Severson,D
Los Angeles Aviators,2016,Timothy Beatty,Bryan Nguyen,O
Los Angeles Aviators,2016,Timothy Beatty,Brent George,O
Los Angeles Aviators,2016,Timothy Beatty,Eric Lissner,O
Los Angeles Aviators,2016,Bryan Nguyen,Brent George,O
Los Angeles Aviators,2016,Zach Theodore,Hunter Corbet,D
Los Angeles Aviators,2016,Dan Bellinger,Andrew Kohl,D
Los Angeles Aviators,2016,Bryan Nguyen,Mark Elbogen,O
Los Angeles Aviators,2016,Allen Lai,Mark Elbogen,O
Los Angeles Aviators,2016,Dan Bellinger,Brandon Severson,D
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Brent George,Hunter Corbet,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Zach Theodore,Simon Evans,D
Los Angeles Aviators,2016,Dan Bellinger,Hunter Corbet,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,O
Los Angeles Aviators,2016,Jeffrey Silverman,Greg Husak,D
Los Angeles Aviators,2016,Timothy Beatty,Bryan Nguyen,O
Los Angeles Aviators,2016,Andrew Kohl,Trevor Smith,D
Los Angeles Aviators,2016,Zach Theodore,Hunter Corbet,D
Los Angeles Aviators,2016,Timothy Beatty,Mark Elbogen,O
Los Angeles Aviators,2016,Zac Schakner,Andrew Padula,D
Los Angeles Aviators,2016,Dan Bellinger,Zac Schakner,O
Los Angeles Aviators,2016,Brandon Severson,Zach Theodore,D
Los Angeles Aviators,2016,Jeffrey Silverman,Michael Kiyoi,D
Los Angeles Aviators,2016,Hunter Corbet,Brandon Severson,D
Los Angeles Aviators,2016,Allen Lai,Bryan Nguyen,O
Los Angeles Aviators,2016,Allen Lai,Timothy Beatty,O
Los Angeles Aviators,2016,Steven Brooks,Mark Elbogen,O
Los Angeles Aviators,2016,Mark Elbogen,Bryan Nguyen,O
Los Angeles Aviators,2016,Jeffrey Silverman,Zach Theodore,D
Los Angeles Aviators,2016,Grant Boyd,Trevor Smith,D
Los Angeles Aviators,2016,Mark Elbogen,Timothy Beatty,O
Los Angeles Aviators,2016,Steven Brooks,Mark Elbogen,O
Los Angeles Aviators,2016,Peter Zhou,Trevor Smith,D
Los Angeles Aviators,2016,Michael Kiyoi,Bryan Nguyen,O
Los Angeles Aviators,2016,Brandon Severson,Peter Zhou,D
Los Angeles Aviators,2016,Bryan Nguyen,Timothy Beatty,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Mark Elbogen,D
Los Angeles Aviators,2016,Allen Lai,Steven Brooks,O
Los Angeles Aviators,2016,Timothy Beatty,Michael Kiyoi,O
Los Angeles Aviators,2016,Dan Bellinger,Brandon Severson,D
Los Angeles Aviators,2016,Eric Lissner,Michael Kiyoi,O
Los Angeles Aviators,2016,Mark Elbogen,Zach Theodore,O
Los Angeles Aviators,2016,Brandon Severson,Jeffrey Silverman,D
Los Angeles Aviators,2016,Grant Boyd,Andrew Padula,D
Los Angeles Aviators,2016,Mark Elbogen,Michael Kiyoi,O
Los Angeles Aviators,2016,Hunter Corbet,Zach Theodore,O
Los Angeles Aviators,2016,Steven Brooks,Zach Theodore,O
Los Angeles Aviators,2016,Michael Kiyoi,Eric Lissner,O
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Brent George,Bryan Nguyen,O
Los Angeles Aviators,2016,Steven Brooks,Brent George,O
Los Angeles Aviators,2016,Mark Elbogen,Eli Friedman,O
Los Angeles Aviators,2016,Jeffrey Silverman,Brandon Severson,O
Los Angeles Aviators,2016,Eli Friedman,Eric Lissner,O
Los Angeles Aviators,2016,Eli Friedman,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Brent George,O
Los Angeles Aviators,2016,Tyler Bacon,Andrew Padula,D
Los Angeles Aviators,2016,Eric Lissner,Hunter Corbet,O
Los Angeles Aviators,2016,Steven Brooks,Mark Elbogen,O
Los Angeles Aviators,2016,Hunter Corbet,Bryan Nguyen,O
Los Angeles Aviators,2016,Zac Schakner,Trevor Smith,D
Los Angeles Aviators,2016,Zac Schakner,Mitchell Steiner,O
Los Angeles Aviators,2016,Brent George,Eli Friedman,O
Los Angeles Aviators,2016,Dan Bellinger,Tyler Bacon,D
Los Angeles Aviators,2016,Eric Lissner,Bryan Nguyen,O
Los Angeles Aviators,2016,Eric Lissner,Michael Kiyoi,O
Los Angeles Aviators,2016,Steven Brooks,Eli Friedman,O
Los Angeles Aviators,2016,Zac Schakner,Andrew Padula,D
Los Angeles Aviators,2016,Allen Lai,Eli Friedman,O
Los Angeles Aviators,2016,Allen Lai,Bryan Nguyen,O
Los Angeles Aviators,2016,Mitchell Steiner,Greg Husak,D
Philadelphia Phoenix,2016,Kevin Venose,Ryan Forster,O
Philadelphia Phoenix,2016,Kyle Wolf,Ryan Forster,O
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Frank Harris,Riggs Mohler,O
Philadelphia Phoenix,2016,Ryan Forster,Ryan Flamberg,O
Philadelphia Phoenix,2016,Kevin Venose,Greg Strouse,O
Philadelphia Phoenix,2016,Stephen Ng,Steven Broome,O
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Greg Strouse,KDub,D
Philadelphia Phoenix,2016,Kyle Wolf,KDub,O
Philadelphia Phoenix,2016,Greg Strouse,Ryan Forster,O
Philadelphia Phoenix,2016,Charles Harrity,Andrew Haviland,O
Philadelphia Phoenix,2016,Andrew Haviland,Stephen Magerr,O
Philadelphia Phoenix,2016,Ryan Forster,Greg Strouse,O
Philadelphia Phoenix,2016,John Henkel,Stephen Magerr,O
Philadelphia Phoenix,2016,Andrew Haviland,Steven Broome,D
Philadelphia Phoenix,2016,Bryant Dean,Ryan Forster,O
Philadelphia Phoenix,2016,Bryant Dean,Brian Williams,O
Philadelphia Phoenix,2016,Greg Strouse,Kyle Wolf,O
Philadelphia Phoenix,2016,Ryan Forster,KDub,O
Philadelphia Phoenix,2016,Greg Strouse,Stephen Magerr,O
Philadelphia Phoenix,2016,Ryan Flamberg,Ryan Forster,O
Philadelphia Phoenix,2016,Kyle Wolf,Ryan Forster,O
Philadelphia Phoenix,2016,Bryant Dean,Stephen Magerr,O
Philadelphia Phoenix,2016,Greg Strouse,Brian Williams,O
Philadelphia Phoenix,2016,Kyle Wolf,Bryant Dean,O
Philadelphia Phoenix,2016,Andrew Haviland,Steven Broome,D
Philadelphia Phoenix,2016,Stephen Ng,Andrew Haviland,O
Philadelphia Phoenix,2016,Kevin Venose,Andrew Haviland,O
Philadelphia Phoenix,2016,Steven Broome,Eric Nardelli,D
Philadelphia Phoenix,2016,KDub,Stephen Magerr,O
Philadelphia Phoenix,2016,Kyle Wolf,Ryan Forster,O
Philadelphia Phoenix,2016,Stephen Ng,Andrew Haviland,O
Philadelphia Phoenix,2016,Jonathan Holloway,Kyle Wolf,O
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Ryan Forster,Brian Magerr,O
Philadelphia Phoenix,2016,Brian Williams,Brian Magerr,O
Philadelphia Phoenix,2016,Brian Magerr,Greg Strouse,O
Philadelphia Phoenix,2016,Brian Williams,Kyle Wolf,O
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Ryan Forster,Kyle Wolf,D
Philadelphia Phoenix,2016,Kyle Wolf,Brian Magerr,O
Philadelphia Phoenix,2016,Greg Strouse,Brian Magerr,O
Philadelphia Phoenix,2016,Brian Williams,Brian Magerr,O
Philadelphia Phoenix,2016,Kyle Wolf,Ryan Forster,O
Philadelphia Phoenix,2016,Stephen Ng,Kevin Venose,O
Philadelphia Phoenix,2016,Brian Williams,Brian Magerr,O
Philadelphia Phoenix,2016,Kyle Wolf,Ryan Forster,O
Philadelphia Phoenix,2016,Brian Magerr,Greg Strouse,O
Philadelphia Phoenix,2016,Stephen Magerr,John Henkel,O
Philadelphia Phoenix,2016,Greg Strouse,Brian Magerr,O
Philadelphia Phoenix,2016,Bryant Dean,Matt Carter,O
Philadelphia Phoenix,2016,Brian Magerr,Greg Strouse,O
Philadelphia Phoenix,2016,Brian Magerr,KDub,O
Philadelphia Phoenix,2016,Kyle Wolf,Matt Carter,O
Philadelphia Phoenix,2016,Matt Carter,Ryan Forster,O
Philadelphia Phoenix,2016,Kyle Wolf,Brian Magerr,O
Philadelphia Phoenix,2016,KDub,Greg Strouse,O
Philadelphia Phoenix,2016,Brian Magerr,KDub,O
Philadelphia Phoenix,2016,Kyle Wolf,Paul Karavayev,O
Philadelphia Phoenix,2016,Ryan Forster,Kyle Wolf,O
Philadelphia Phoenix,2016,Bryant Dean,KDub,O
Philadelphia Phoenix,2016,Riggs Mohler,Matt Carter,O
Philadelphia Phoenix,2016,KDub,Greg Strouse,O
Philadelphia Phoenix,2016,Kyle Wolf,KDub,O
Philadelphia Phoenix,2016,Stephen Ng,Alex Kadesch,O
Philadelphia Phoenix,2016,Ryan Forster,Brian Magerr,O
Philadelphia Phoenix,2016,Stephen Shaw,Stephen Ng,D
Philadelphia Phoenix,2016,Alex Kadesch,Stephen Schlatter,D
Philadelphia Phoenix,2016,Stephen Ng,Zachary Eskin,D
Philadelphia Phoenix,2016,Zac Sands,Eric Nardelli,O
Philadelphia Phoenix,2016,Kyle Wolf,KDub,D
Philadelphia Phoenix,2016,Stephen Ng,Zac Sands,D
Philadelphia Phoenix,2016,Ryan Forster,Stephen Shaw,O
Philadelphia Phoenix,2016,Ryan Forster,Kyle Wolf,O
Philadelphia Phoenix,2016,Frank Harris,John Henkel,O
Philadelphia Phoenix,2016,Ryan Forster,Kyle Wolf,O
Philadelphia Phoenix,2016,Kyle Wolf,Brian Magerr,D
Philadelphia Phoenix,2016,Greg Strouse,Alex Kadesch,O
Philadelphia Phoenix,2016,Ryan Forster,Stephen Shaw,D
Philadelphia Phoenix,2016,Brian Williams,Bryant Dean,O
Philadelphia Phoenix,2016,Bryant Dean,Greg Strouse,O
Philadelphia Phoenix,2016,Matt Carter,KDub,O
Philadelphia Phoenix,2016,Ryan Forster,Greg Strouse,O
Philadelphia Phoenix,2016,Brian Magerr,Greg Strouse,O
Philadelphia Phoenix,2016,Bryant Dean,Ryan Forster,O
Philadelphia Phoenix,2016,Alex Kadesch,Zac Sands,O
Philadelphia Phoenix,2016,Ryan Forster,Brian Williams,O
Philadelphia Phoenix,2016,Matt Carter,Zac Sands,D
Philadelphia Phoenix,2016,Kevin Venose,KDub,O
Philadelphia Phoenix,2016,Stephen Shaw,Alex Kadesch,O
Philadelphia Phoenix,2016,Brian Magerr,Zac Sands,D
Philadelphia Phoenix,2016,Elijah Karoly,Kevin Venose,O
Philadelphia Phoenix,2016,Bryant Dean,Stephen Shaw,O
Philadelphia Phoenix,2016,Stephen Ng,KDub,O
Philadelphia Phoenix,2016,Stephen Ng,KDub,O
Philadelphia Phoenix,2016,Ryan Forster,Bryant Dean,O
Philadelphia Phoenix,2016,Kevin Venose,Eric Nardelli,O
Philadelphia Phoenix,2016,Kevin Venose,Paul Karavayev,O
Philadelphia Phoenix,2016,Stephen Magerr,Brian Magerr,O
Philadelphia Phoenix,2016,Frank Harris,Matt Carter,O
Philadelphia Phoenix,2016,Eric Nardelli,Matt Carter,O
Philadelphia Phoenix,2016,Matt Carter,KDub,O
Philadelphia Phoenix,2016,KDub,Stephen Ng,D
Philadelphia Phoenix,2016,Matt Carter,Paul Karavayev,O
Philadelphia Phoenix,2016,KDub,Stephen Ng,O
Philadelphia Phoenix,2016,Stephen Shaw,KDub,O
Philadelphia Phoenix,2016,Stephen Shaw,Stephen Magerr,O
Philadelphia Phoenix,2016,Frank Harris,Matt Carter,O
Philadelphia Phoenix,2016,Eric Nardelli,Zachary Eskin,D
Philadelphia Phoenix,2016,Stephen Shaw,Stephen Magerr,O
Philadelphia Phoenix,2016,Kevin Venose,KDub,D
Philadelphia Phoenix,2016,Stephen Magerr,Sam Peezick,O
Philadelphia Phoenix,2016,Matt Carter,Brian Magerr,O
Philadelphia Phoenix,2016,Eric Nardelli,Stephen Magerr,O
Philadelphia Phoenix,2016,Eric Nardelli,John Henkel,O
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Kyle Wolf,KDub,O
Philadelphia Phoenix,2016,Greg Strouse,Kyle Wolf,O
Philadelphia Phoenix,2016,Greg Strouse,KDub,O
Philadelphia Phoenix,2016,Brian Williams,Bryant Dean,O
Philadelphia Phoenix,2016,Ryan Forster,KDub,O
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Greg Strouse,Kyle Wolf,O
Philadelphia Phoenix,2016,Frank Harris,KDub,O
Philadelphia Phoenix,2016,Greg Strouse,KDub,O
Philadelphia Phoenix,2016,Bryant Dean,Brian Williams,O
Philadelphia Phoenix,2016,KDub,Bryant Dean,O
Philadelphia Phoenix,2016,Andrew Haviland,Matt Carter,D
Philadelphia Phoenix,2016,Matt Carter,KDub,D
Philadelphia Phoenix,2016,Kyle Wolf,Greg Strouse,O
Philadelphia Phoenix,2016,Bryant Dean,Matt Carter,O
Philadelphia Phoenix,2016,Bryant Dean,Ryan Forster,O
Philadelphia Phoenix,2016,Brian Williams,Matt Carter,O
Philadelphia Phoenix,2016,Charles Harrity,Greg Strouse,O
Philadelphia Phoenix,2016,Ryan Forster,Greg Strouse,O
Philadelphia Phoenix,2016,Matt Carter,Greg Strouse,O
Philadelphia Phoenix,2016,Matt Carter,Zachary Eskin,O
Philadelphia Phoenix,2016,Ryan Forster,Merch,O
Philadelphia Phoenix,2016,Matt Carter,Alex Lowy,O
Philadelphia Phoenix,2016,Matt Carter,Greg Strouse,O
Philadelphia Phoenix,2016,Kevin Venose,Ryan Forster,O
Philadelphia Phoenix,2016,Aaron Roberts,Zachary Eskin,D
Philadelphia Phoenix,2016,Kevin Venose,Andrew Haviland,D
Philadelphia Phoenix,2016,Aaron Roberts,Andrew Haviland,O
Philadelphia Phoenix,2016,Zachary Eskin,Jonathan Holloway,D
Philadelphia Phoenix,2016,Ryan Forster,Greg Strouse,O
Philadelphia Phoenix,2016,Charles Harrity,Ryan Forster,O
Philadelphia Phoenix,2016,Kevin Venose,KDub,O
Philadelphia Phoenix,2016,Ryan Forster,KDub,O
Philadelphia Phoenix,2016,Ryan Forster,Stephen Schlatter,O
Philadelphia Phoenix,2016,Stephen Schlatter,Jonathan Holloway,O
Philadelphia Phoenix,2016,KDub,Eric Nardelli,O
Philadelphia Phoenix,2016,Bryant Dean,Stephen Shaw,O
Philadelphia Phoenix,2016,Brian Williams,Stephen Shaw,O
Philadelphia Phoenix,2016,Dustin Sullivan,Eric Nardelli,O
Philadelphia Phoenix,2016,Kevin Venose,Eric Nardelli,D
Philadelphia Phoenix,2016,Ryan Forster,KDub,D
Philadelphia Phoenix,2016,Bryant Dean,Brian Williams,O
Philadelphia Phoenix,2016,KDub,Brian Williams,O
Philadelphia Phoenix,2016,Ryan Forster,Zachary Eskin,D
Philadelphia Phoenix,2016,Eric Nardelli,Alex Kadesch,O
Philadelphia Phoenix,2016,Dustin Sullivan,Brian Williams,O
Philadelphia Phoenix,2016,Bryant Dean,KDub,O
Philadelphia Phoenix,2016,Kevin Venose,Zachary Eskin,D
Philadelphia Phoenix,2016,Stephen Schlatter,Kevin Venose,O
Philadelphia Phoenix,2016,Ryan Forster,Brian Williams,O
